Cell_type,Genes
cS28 (GREM1+ CAF),"['COL1A1', 'COL3A1', 'COL1A2', 'CTHRC1', 'COL5A2', 'BGN', 'LUM', 'THBS2', 'COL12A1', 'COL6A3', 'POSTN', 'INHBA', 'ANTXR1', 'SPON2', 'AEBP1', 'COL5A1', 'PDPN', 'FTH1', 'SULF1', 'MXRA5', 'FAP', 'MMP14', 'RARRES2', 'RAB31', 'DCN', 'MMP2', 'LGALS1', 'PRRX1', 'GREM1', 'TPM2', 'COL6A1', 'CTSB', 'FN1', 'CTSK', 'RP3-412A9.11', 'MFAP2', 'SOD2', 'CALU', 'CDH11', 'TNC', 'VCAN', 'PCOLCE', 'COL11A1', 'ADAMTS2', 'TIMP2', 'PLOD2', 'EMILIN1', 'TNFAIP6', 'STEAP1', 'ADAM12', 'THY1', 'COL7A1', 'TWIST1', 'TNFRSF12A', 'BASP1', 'FTL', 'COL10A1', 'TGFBI', 'RCN3', 'WNT5A', 'COL6A2', 'NBL1', 'MXRA8', 'WISP1', 'TMEM158', 'CLMP', 'SLC16A3', 'BICC1', 'PODNL1', 'C1S', 'TPM1', 'PALLD', 'STEAP2', 'PKM', 'CEBPB', 'ISLR', 'SPHK1', 'CHPF', 'SERPINH1', 'CALD1', 'FKBP10', 'P4HB', 'MMP1', 'NTM', 'MRC2', 'GAS1', 'CERCAM', 'SPOCK1', 'RUNX1', 'SPARC', 'DDR2', 'PTK7', 'ARF4', 'COL8A1', 'CLEC11A', 'FAM20C', 'FSTL1', 'MT1E', 'OSTC', 'CD82', 'TPM4', 'IL32', 'GAPDH', 'HIF1A', 'LMCD1', 'TMSB10', 'MYH9', 'RAI14', 'ACTN1', 'SULF2', 'ITGB1', 'TAGLN', 'NRP2', 'BMP1', 'SLC39A14', 'RP11-400N13.3', 'EVA1A', 'LTBP1', 'PRELID1', 'SSR3', 'ARL4C', 'MARCKS', 'ITGAV', 'CLIC4', 'LOXL2', 'ADAMTS12', 'KDELR2', 'GUCY1A3', 'MICAL2', 'GJB2', 'PDGFRB', 'COTL1', 'PLPP4', 'BCAT1', 'CCND1', 'SOX4']"
cS29 (MMP3+ CAF),"['FTH1', 'MT2A', 'SOD2', 'GAPDH', 'FTL', 'CXCL8', 'CEBPB', 'TPI1', 'MT1E', 'IER3', 'ENO1', 'PKM', 'CD44', 'NAMPT', 'COL7A1', 'TGFBI', 'LDHA', 'MMP1', 'SAT1', 'RP3-412A9.11', 'WNT5A', 'PHLDA1', 'SLC16A3', 'MMP3', 'INHBA', 'CXCL1', 'SEC61G', 'TMEM158', 'CD82', 'LGALS1', 'MT1X', 'LOXL2', 'BNIP3', 'F3', 'TMEM132A', 'MIF', 'TIMP1', 'CHI3L1', 'COL3A1', 'TNC', 'TNFRSF12A', 'COL12A1', 'PGK1', 'ANGPTL4', 'PLOD2', 'GLRX', 'ADM', 'FAM20C', 'BNIP3L', 'PDPN', 'DCN', 'RPL28', 'GSTO1', 'LUM', 'VEGFA', 'COL1A1', 'CXCL5', 'TMEM45A', 'TPM2', 'ERRFI1', 'PLIN2', 'SPON2', 'IL24', 'COL5A2', 'PRRX1', 'ACSL4', 'MME', 'ANXA5', 'SLC39A14', 'HILPDA', 'PLAUR', 'CA12', 'RUNX1', 'IL11', 'P4HB', 'AKR1B1', 'STC1', 'G0S2', 'MMP14', 'CXCL3', 'PGAM1', 'NNMT', 'RND3', 'NBL1', 'OAZ1', 'TNFAIP3', 'RPLP0', 'HIF1A', 'CTSB', 'TNFAIP6', 'COL6A3', 'PDLIM4', 'TNIP1', 'RCN3', 'GK', 'S100A6', 'NINJ1', 'COL6A1', 'AXL', 'VMP1', 'PTMA', 'RAB13', 'IL32', 'ITGA5', 'DDIT4', 'CYTOR', 'LRRFIP1', 'AP2S1', 'POMP', 'SERPINE1', 'NDRG1', 'UPP1', 'CAV1', 'FADS3', 'ERO1A', 'VDAC1', 'MT1F', 'HMGA1', 'COX7A2', 'PHLDA2', 'COTL1', 'KLHL5', 'C4orf3', 'S100A11', 'WTAP', 'PTGS1', 'PFKFB3', 'IL6', 'ZC3H12A']"
cS30 (CAF CCL8 Fibro-like),"['TFPI2', 'CCL11', 'ADAMDEC1', 'IGFBP5', 'ADAM28', 'TCF21', 'PTGDS', 'CCL13', 'TGFBI', 'HAPLN1', 'VCAN', 'CFD', 'FBLN1', 'RP1-186E20.2', 'LUM', 'CTSK', 'COL18A1', 'C1S', 'TIMP3', 'ADH1B', 'PLTP', 'EMILIN1', 'SCARA5', 'DCN', 'LTBP4', 'FHL2', 'QSOX1', 'COL14A1', 'CFH', 'TMEM176B', 'ECM1', 'SERPINE2', 'WNT2B', 'RARRES2', 'EDIL3', 'TMEM176A', 'C11orf96', 'RHOBTB3', 'CXCL14', 'CCL2', 'DKK3', 'CYGB', 'NEGR1', 'RP11-805I24.2', 'PAPPA', 'IGF1', 'RND3', 'CTSC', 'COL1A2', 'SERPINF1', 'C1R', 'SPON2', 'MFAP4', 'CCDC80', 'COL6A1', 'MRC2', 'IL6ST', 'SFRP1', 'LRP1', 'ZFP36L1', 'BASP1', 'MEG3', 'MXRA5', 'JUND', 'A2M', 'GPC6', 'BMP4', 'DPT', 'ZEB2', 'FILIP1L', 'HTRA3', 'COL3A1', 'FBLN5', 'SPON1', 'PITX1', 'GRK5', 'COL6A2', 'EDNRB', 'APOE', 'AKAP12', 'CST3', 'COL5A1', 'FIBIN', 'SMPDL3A', 'CDH11', 'RBP1', 'TFPI', 'PMP22', 'FOSB', 'ENC1', 'GGT5', 'LTBP2', 'NFIA', 'MMP2', 'ABCA8', 'PTGER4', 'ROBO1', 'TYMP', 'RRBP1', 'CXCL1', 'SPARCL1', 'GNG11', 'FABP5', 'SPRY1', 'SPTBN1', 'ACVRL1', 'BTG1', 'PLPP1', 'COL15A1', 'VIM', 'EPAS1', 'MT-ND1', 'ADGRL2', 'FAM198B', 'NID1', 'CLEC2B', 'CRYBG3', 'TNFSF10', 'MT-CO3', 'HGF', 'TGFBR2', 'FGFR4', 'P2RY14', 'TSPAN2', 'MT-CO1', 'MT-CO2', 'VCAM1', 'DDX5', 'MATN2', 'TRIL', 'MT-ATP6', 'MCL1', 'PHACTR2', 'CYR61', 'DUSP6', 'MAMDC2', 'NDUFA4L2', 'RP1-288H2.5', 'RBP5', 'C8orf4', 'CHL1']"
cS31 (CAF stem niche Fibro-like),"['CCDC80', 'C3', 'SFRP2', 'IGF1', 'COL6A3', 'SERPINF1', 'FBLN1', 'IGFBP4', 'MGP', 'DCN', 'VCAN', 'COL14A1', 'OGN', 'COL1A2', 'LUM', 'LRP1', 'SPON1', 'GPNMB', 'C1S', 'PCOLCE', 'RARRES1', 'MMP2', 'COL3A1', 'FBN1', 'C1R', 'MGST1', 'CTSK', 'COL1A1', 'SLIT3', 'HSPB6', 'SRPX', 'EFEMP1', 'PLA2G2A', 'STEAP1', 'PODN', 'ELN', 'DPT', 'THBS2', 'CFD', 'THY1', 'OLFML3', 'STEAP2', 'FGF7', 'AEBP1', 'PTGDS', 'RHOBTB3', 'MEG3', 'PLTP', 'PDGFRA', 'CYBRD1', 'MRC2', 'ANK2', 'COL6A1', 'CHRDL1', 'TSHZ2', 'CD63', 'TIMP2', 'MFAP4', 'MMP23B', 'BASP1', 'PRELP', 'SSPN', 'OAF', 'SFRP1', 'BOC', 'CD248', 'SPON2', 'VEGFB', 'FSTL1', 'CLMP', 'TIMP1', 'NFIX', 'SERPING1', 'SVEP1', 'CST3', 'COL6A2', 'PBX1', 'MXRA8', 'SERPINE2', 'LGALS3BP', 'TNXB', 'NNMT', 'COL8A1', 'C1QTNF3', 'CFH', 'CLEC11A', 'PTGIS', 'FMOD', 'NUPR1', 'SCPEP1', 'SFRP4', 'PMP22', 'ABI3BP', 'FBLN5', 'PLXDC2', 'AKR1C1', 'CXCL12', 'GREM1', 'ADD3', 'PBX3', 'EMP1', 'LXN', 'NFIB', 'CLU', 'NT5E', 'C7', 'FAM198B', 'MEDAG', 'AKR1C3', 'MAPKAP1', 'LMNA', 'NR4A1', 'ABL2', 'EBF1', 'DPYSL3', 'PDGFRL', 'CPXM1', 'MT-RNR2', 'TGFBR2', 'AOX1', 'NFIA', 'UGP2', 'SPARCL1', 'BGN', 'DPYSL2', 'SH3D19', 'FKBP5', 'ANGPTL1', 'MIR99AHG', 'GPRC5A', 'ANGPTL4', 'HTRA1', 'MDK', 'COLEC12', 'SH3BP5', 'MYCBP2', 'DCLK1', 'AKAP12', 'DAAM1', 'FOSB']"
cS32 (Smooth Muscle),"['ADIRF', 'TAGLN', 'DSTN', 'MYL9', 'MYH11', 'ACTA2', 'TPM2', 'PLN', 'RERGL', 'SOD3', 'RP3-412A9.11', 'MT1E', 'PPP1R14A', 'FLNA', 'NDUFA4', 'TSC22D1', 'TPM1', 'MT2A', 'CSRP2', 'MT1M', 'C11orf96', 'SORBS2', 'MT1X', 'MYL6', 'CALM2', 'SNCG', 'NOTCH3', 'MFGE8', 'CRYAB', 'NET1', 'CSRP1', 'PRKCDBP', 'MYLK', 'NTRK2', 'FRZB', 'FXYD1', 'SH3BGRL', 'HSPB1', 'MIR143HG', 'RCAN2', 'HES4', 'ACTG2', 'GADD45B', 'LBH', 'BCAM', 'CNN1', 'LMOD1', 'CRIP1', 'MAP3K20', 'CALD1', 'MGST3', 'C2orf40', 'TINAGL1', 'MAP3K7CL', 'BTG2', 'PHLDA2', 'IGFBP5', 'PPP1R12B', 'ACTB', 'PPDPF', 'HCFC1R1', 'MTHFD2', 'PLAC9', 'GPX3', 'JUNB', 'EFHD1', 'SYNPO2', 'C1QTNF1', 'S100A4', 'MT-CO1', 'CKB', 'PNRC1', 'ARPC1A', 'MT-ND2', 'NUPR1', 'ZFHX3', 'UQCRB', 'CCDC3', 'NDUFB7', 'COX7A1', 'FAU', 'COX7A2', 'TNS1', 'SPARCL1', 'CCNI', 'BGN', 'MALAT1', 'CIRBP', 'CPE', 'PPP1R12A', 'LPP', 'RPL23A', 'SKP1', 'RPL14', 'NEXN', 'YBX1', 'KCNA5', 'MT-ND4', 'GPRC5C', 'MCAM']"
cS33 (Schwann),"['CRYAB', 'S100B', 'GPM6B', 'CD9', 'PLP1', 'PMP22', 'FXYD1', 'CLU', 'LGI4', 'PRNP', 'NRXN1', 'ALDH1A1', 'S100A10', 'TMEM176B', 'SCN7A', 'SPP1', 'MATN2', 'SEMA3B', 'CDH19', 'PEBP1', 'CALM2', 'MPZ', 'PMEPA1', 'MARCKS', 'TUBA1A', 'AP1S2', 'MYOT', 'ANXA2', 'ANK3', 'DKK3', 'H3F3B', 'ERBB3', 'VIM', 'TSPAN11', 'S100A4', 'XKR4', 'GPR155', 'TMEM176A', 'S100A6', 'PPDPF', 'CNN3', 'MT2A', 'MAL', 'ARHGAP15', 'GFRA3', 'L1CAM', 'CD59', 'SPARC', 'HAND2', 'COL28A1', 'PHLDA3', 'TUBB2B', 'GAS7', 'LGALS1', 'RASSF4', 'DST', 'RHOB', 'COL9A3', 'SOX10', 'PLEKHB1', 'CADM1', 'HAND2-AS1', 'MT-ND2', 'SAMHD1', 'SORBS2', 'COMT', 'NTM', 'PSAP', 'MT1E', 'S100A1', 'OLFML2A', 'FTH1', 'KCNMB4', 'NCAM1', 'CST3', 'LGALS3BP', 'PCSK2', 'SOX2', 'COL8A1', 'FSTL3', 'SCCPDH', 'NDRG2', 'SORCS1', 'METRN', 'ANXA1', 'RP4-792G4.2', 'ANXA5', 'NGFR', 'CHL1', 'ITM2C', 'SEMA3C', 'TIMP3', 'SLC22A17', 'CADM2', 'ABCA8', 'MIA', 'CBR1', 'FTL', 'SMIM5', 'ASPA']"
cE01 (Stem/TA-like),"['RPL13', 'RPS18', 'RPL28', 'RPS27', 'RPL21', 'RPL39', 'RPL10', 'RPL32', 'RPS19', 'RPL12', 'RPL29', 'RPL18A', 'RPL13A', 'RPS6', 'RPS15A', 'RPL37', 'RPS24', 'EEF1A1', 'RPL35A', 'RPS8', 'RPL30', 'RPL10A', 'RPS12', 'RPL14', 'RPL11', 'RPL31', 'RPS7', 'RPS9', 'RPS27A', 'RPS3', 'RPL5', 'RPL26', 'RPL37A', 'RPS3A', 'RPL34', 'RPL7', 'RPL15', 'RPS5', 'RPL6', 'RPS4X', 'RPS14', 'RPS23', 'RPL23A', 'RPL7A', 'RPS13', 'RPS28', 'RPLP0', 'RPL8', 'RPL36', 'RPL24', 'RPL19', 'RPL22', 'RPL3', 'RACK1', 'RPS15', 'NACA', 'RPL9', 'RPS16', 'RPS25', 'RPL18', 'RPS11', 'RPS2', 'RPL36A', 'RPL41', 'RPL27A', 'RPLP1', 'RPL23', 'RPS20', 'RPLP2', 'RPS21', 'RPL35', 'RPL38', 'EIF3E', 'RPL27', 'EEF1B2', 'EEF2', 'RPS10', 'ZFAS1', 'RPL4', 'RPSA', 'RPS29', 'COMMD6', 'PABPC1', 'TPT1', 'FTL', 'RPS17', 'GLTSCR2', 'UBA52', 'SLC25A6', 'GPX2', 'BTF3', 'ATP5E', 'ATP5G2', 'PRDX5', 'HNRNPA1', 'EIF3H', 'NPM1', 'FAU', 'PFDN5', 'TOMM7']"
cE02 (Stem/TA-like/Immature Goblet),"['TFF3', 'FCGBP', 'MUC2', 'SPINK4', 'ST6GALNAC1', 'SERPINA1', 'KLK1', 'KIAA1324', 'CREB3L1', 'MUC5B', 'LRRC26', 'XBP1', 'RETNLB', 'GMDS', 'REP15', 'REG4', 'WFDC2', 'STARD10', 'CKAP4', 'SPDEF', 'AGR2', 'MLPH', 'SLC12A2', 'ITLN1', 'ATOH1', 'HPCAL1', 'C12orf57', 'NPDC1', 'RAP1GAP', 'FOXP1', 'ERGIC1', 'ERN2', 'ARFGEF3', 'CMIP', 'CDC42EP5', 'GNE', 'WNK2', 'CANT1', 'MUC4', 'TSPAN13', 'RP11-234B24.2', 'HES6', 'ABLIM1', 'ANG', 'SPINK1', 'ASPH', 'CLCA1', 'SCNN1A', 'HEPACAM2', 'SLC39A8', 'IL13RA1', 'PDXDC1', 'LMAN1', 'EFCAB4A', 'TM9SF3', 'MBOAT2', 'HDLBP', 'FOXA3', 'IMPA2', 'RANBP2', 'LENG8', 'GLUL', 'RASD1', 'TPM1', 'FRYL', 'DYRK4', 'ATP2A3', 'TCEA3', 'FABP2', 'MAZ', 'RAB15', 'FOXA2', 'SYNGR2', 'HIST1H4C', 'GALNT12', 'ATP2C2', 'PLPP5', 'RP3-412A9.11', 'GALNT3', 'C9orf152', 'HMGN3', 'ACTN1', 'PPP1R1B', 'NECTIN1', 'EMP2', 'PCCA', 'NUCB2', 'DNAJC10', 'ZKSCAN1', 'ANXA13', 'TPSG1', 'GSE1', 'SMIM14', 'NR4A1', 'FAM174B', 'SLC9A3R2', 'TP53', 'ARHGAP32', 'MUC1', 'FKBP11']"
cE03 (Stem/TA-like prolif),"['TUBA1B', 'H2AFZ', 'HMGB1', 'STMN1', 'PTMA', 'HMGB2', 'TUBB', 'RANBP1', 'HMGN2', 'PTTG1', 'CENPW', 'RAN', 'PCLAF', 'HSPE1', 'HSPD1', 'CKS2', 'UBE2S', 'SNRPF', 'MKI67', 'NUCKS1', 'SNRPG', 'LDHB', 'BIRC5', 'HSP90AA1', 'SNRPD1', 'PA2G4', 'DEK', 'LSM5', 'CDKN3', 'MAD2L1', 'NCL', 'HNRNPA2B1', 'TOP2A', 'SNRPB', 'DTYMK', 'NME1', 'CKS1B', 'PPIA', 'H2AFV', 'UBE2C', 'ANP32B', 'HSP90AB1', 'ENO1', 'TK1', 'NASP', 'RPA3', 'MCM7', 'ZWINT', 'SET', 'SMC4', 'UBE2T', 'HNRNPA3', 'PTGES3', 'NPM1', 'PCNA', 'CENPF', 'HMGA1', 'GGCT', 'CBX3', 'CDC20', 'HMGB3', 'TRMT112', 'SIVA1', 'SRSF3', 'SNRPE', 'CCNB1', 'HMGN1', 'RRM2', 'DNMT1', 'NUDT1', 'CACYBP', 'NAP1L1', 'GSTP1', 'CCDC34', 'TPX2', 'LSM4', 'PAICS', 'SKA2', 'SERBP1', 'POLD2', 'TYMS', 'ERH', 'CCT2', 'YBX1', 'DDX39A', 'CCT6A', 'SMC2', 'TOMM40', 'HNRNPD', 'MRPL51', 'KPNA2', 'SSRP1', 'LSM3', 'MZT2A', 'CCT5', 'IDH2', 'NOP56', 'DDX21', 'PSMA7', 'GADD45GIP1']"
cE04 (Enterocyte 1),"['SLC26A3', 'CEACAM7', 'GUCA2A', 'SEPP1', 'PLAC8', 'TSPAN1', 'IL32', 'PHGR1', 'B2M', 'CA4', 'AQP8', 'IFI27', 'CEACAM1', 'FABP1', 'CLCA4', 'SMIM22', 'GUCA2B', 'CEACAM5', 'CDHR5', 'HLA-A', 'EMP1', 'HPGD', 'MS4A12', 'CTSD', 'KRT20', 'ISG15', 'FXYD3', 'FTH1', 'PKIB', 'RHOC', 'HLA-B', 'MUC12', 'LYPD8', 'SDCBP2', 'C19orf33', 'CLDN7', 'MALL', 'ITM2C', 'MISP', 'UGP2', 'GPA33', 'ANPEP', 'MT-CO1', 'PRAP1', 'PRSS3', 'RP11-48O20.4', 'TMEM54', 'PRR13', 'EPCAM', 'SMPDL3A', 'VAMP8', 'CA2', 'SPATS2L', 'ATP1B3', 'C15orf48', 'MUC13', 'MYL6', 'TRIM31', 'MYL12B', 'GCNT3', 'SRI', 'MXD1', 'MT-RNR2', 'HLA-C', 'TMPRSS2', 'PIGR', 'SGK1', 'TMIGD1', 'DHRS9', 'AOC1', 'SERINC2', 'PRDX6', 'CLDN4', 'MEP1A', 'HHLA2', 'CLDN3', 'CLTB', 'MYL12A', 'PLS1', 'TMEM37', 'SLC9A3', 'PRSS8', 'SH3BGRL3', 'HIST1H1C', 'RHOF', 'CDKN2B-AS1', 'GPRC5A', 'SLC51B', 'CEACAM6', 'CDA', 'KRT8', 'MALAT1', 'PCDH24', 'NEAT1', 'SFN', 'CLDN23', 'CTSA', 'ISG20', 'PPP1R14D', 'MT-RNR1']"
cE05 (Enterocyte 2),"['FABP1', 'SLC26A2', 'CA2', 'PHGR1', 'CA1', 'SELENBP1', 'SLC26A3', 'LGALS4', 'FXYD3', 'PIGR', 'C15orf48', 'MS4A12', 'KRT19', 'CKB', 'CES2', 'HSD11B2', 'SULT1B1', 'CDHR5', 'LGALS3', 'TMEM54', 'PKIB', 'ETHE1', 'CEACAM7', 'CDKN2B-AS1', 'CHP2', 'MT-CO1', 'MALL', 'PLAC8', 'KRT20', 'SLC51B', 'C10orf99', 'KRT8', 'AKR1B10', 'SLC4A4', 'MT-CO3', 'MT2A', 'METTL7A', 'AMN', 'ATP1A1', 'TSPAN1', 'UGT2B17', 'MT1E', 'ITM2C', 'UQCRQ', 'MT1M', 'CHCHD10', 'SRI', 'GPT', 'DHRS11', 'CDH17', 'UGP2', 'ABCC3', 'MT1G', 'TDP2', 'HMGCS2', 'C2orf88', 'GUCA2A', 'BSG', 'PCK1', 'VSIG2', 'CLDN7', 'SMIM22', 'TST', 'MT-CO2', 'SULT1A1', 'PAPSS2', 'CHP1', 'AHCYL2', 'C19orf33', 'MT1F', 'LIMA1', 'CTSD', 'GNA11', 'ID1', 'COX5B', 'ADIRF', 'TSPAN8', 'MT1H', 'MGLL', 'AOC1', 'PADI2', 'ANPEP', 'FABP2', 'MAOA', 'ADH1C', 'ENTPD5', 'PRDX6', 'CA12', 'TSC22D1', 'ACADS', 'ADTRP', 'SGK1', 'MT-ND4', 'MVP', 'GPA33', 'CDKN2B', 'PRR13', 'DEFB1', 'GOLM1', 'GCNT3']"
cE06 (Immature Goblet),"['TFF3', 'FCGBP', 'MUC2', 'SPINK4', 'KLK1', 'ITLN1', 'ST6GALNAC1', 'CLCA1', 'SERPINA1', 'REP15', 'AGR2', 'LRRC26', 'XBP1', 'WFDC2', 'RETNLB', 'ZG16', 'SPINK1', 'HEPACAM2', 'SH3BGRL3', 'STARD10', 'NPDC1', 'REG4', 'LGALS4', 'SPDEF', 'TPSG1', 'ATOH1', 'CDC42EP5', 'RNASE1', 'CREB3L1', 'FAM3D', 'C12orf57', 'FABP2', 'RAP1GAP', 'KIAA1324', 'GMDS', 'BCAS1', 'TSPAN13', 'SMIM14', 'SERF2', 'GSN', 'BEST2', 'TPM1', 'MLPH', 'HPCAL1', 'RAB27A', 'RP11-884K10.5', 'SSR4', 'GNE', 'KCNMA1', 'B2M', 'RASD1', 'ENTPD8', 'SYTL2', 'RABAC1', 'MUC4', 'TCEA3', 'KLF4', 'SCNN1A', 'NEURL1', 'CD63', 'SLC12A2', 'RP11-234B24.2', 'FRYL', 'ANG', 'RP3-412A9.11', 'FMOD', 'MB', 'ANXA13', 'ATP2A3', 'HSD11B2', 'TMEM61', 'ERN2', 'ANO7', 'B3GNT6', 'EFCAB4A', 'CAPN9', 'VSIG2', 'ALDH1A1', 'FOXA3', 'FAM174B', 'GALNT8', 'HLA-A', 'HID1', 'DNAJC12', 'AQP3']"
cE07 (Goblet/Enterocyte),"['ZG16', 'SLC26A3', 'AQP8', 'CEACAM7', 'FCGBP', 'PLAC8', 'GUCA2A', 'TSPAN1', 'MUC2', 'SEPP1', 'LYPD8', 'GSN', 'CEACAM5', 'CEACAM1', 'CA4', 'GUCA2B', 'B2M', 'MS4A12', 'PHGR1', 'HPGD', 'PKIB', 'MUC13', 'GPA33', 'EMP1', 'FXYD3', 'MXD1', 'CLCA4', 'KRT20', 'CDHR5', 'SGK1', 'SPATS2L', 'DHRS9', 'SDCBP2', 'CA2', 'UGP2', 'ITM2C', 'MUC12', 'TFF1', 'ANPEP', 'HLA-B', 'TFF3', 'MT-RNR2', 'HLA-A', 'MISP', 'CTSD', 'SLC9A3', 'CD177', 'SMIM22', 'SMPDL3A', 'IFI27', 'MEP1A', 'MT-CO1', 'FABP1', 'MALL', 'KLF4', 'CLDN7', 'PLS1', 'IL32', 'RIOK3', 'RHOC', 'NEAT1', 'GCNT3', 'ISG15', 'BCAS1', 'LIPH', 'TXNIP', 'SMIM14', 'LITAF', 'TMIGD1', 'ENTPD8', 'TMPRSS2', 'RP11-48O20.4', 'TSPAN3', 'KLF6', 'CDH1', 'SRI', 'NAAA', 'HHLA2', 'CAPN2', 'DST', 'DDX60', 'CDKN1A', 'ARL14', 'CAMK2N1', 'SYTL2', 'TMEM37', 'AOC1', 'SERINC2', 'MGLL', 'TMEM59', 'ABHD3', 'TP53INP2', 'TRIM31', 'CFDP1', 'SLC26A2', 'SLC17A4', 'PCDH24', 'RBM47', 'PDCD6IP', 'CLIC5']"
cE08 (Goblet),"['MUC2', 'GSN', 'TFF1', 'FCGBP', 'ZG16', 'TFF3', 'TSPAN1', 'MT-RNR2', 'B2M', 'MUC1', 'SPATS2L', 'CEACAM5', 'MALAT1', 'IFI27', 'HLA-B', 'HLA-A', 'MT-RNR1', 'MUC13', 'LYPD8', 'PLAC8', 'HLA-E', 'FAM3D', 'BCAS1', 'FXYD3', 'SEPP1', 'REP15', 'SMIM14', 'SH3BGRL3', 'SERPINA1', 'SYTL2', 'TMEM59', 'CLDN4', 'ENTPD8', 'VSIG2', 'PHGR1', 'QSOX1', 'CLDN7', 'SAT1', 'SCNN1A', 'CD63', 'CD177', 'ISG20', 'DHRS9', 'TSPAN3', 'MXD1', 'TPSG1', 'ITM2C', 'DST', 'NEAT1', 'RAB27A', 'LIPH', 'HLA-C', 'CREB3L1', 'MLPH', 'KRT20', 'SDCBP2', 'CDC42EP3', 'KLK1', 'KLF4', 'MGLL', 'NPDC1', 'ITLN1', 'ISG15', 'RASEF', 'PARM1', 'FAM46A', 'FFAR4', 'AMN', 'ANKRD36C', 'DDX60', 'CDHR5', 'MLLT3', 'TBX10', 'SAMD9', 'CEACAM6', 'TUBB2A', 'MINPP1', 'RHOC', 'NAAA', 'TM4SF5', 'TXNIP', 'ELF3', 'UBB', 'MUC4', 'CLCA1', 'TP53INP2', 'GLUL', 'MT-CO1', 'FOXA3', 'CAPN8', 'ARL14', 'SMIM6', 'LGALS9B', 'GDPD3', 'GPA33', 'P2RX4']"
cE09 (Best4),"['CA7', 'BEST4', 'CA4', 'SPIB', 'OTOP2', 'GUCA2A', 'MT1G', 'FKBP1A', 'MT2A', 'LYPD8', 'ITM2C', 'GUCA2B', 'SDCBP2', 'KRT20', 'MT1H', 'SRI', 'HES4', 'MT1E', 'MT1M', 'FXYD3', 'HRCT1', 'PHGR1', 'KRT8', 'FABP1', 'CEACAM1', 'CEACAM7', 'MT1X', 'GPA33', 'MT1F', 'TMEM176B', 'HIGD1A', 'CTSE', 'HLA-A', 'AOC1', 'B2M', 'TSPAN1', 'S100A10', 'CCNYL1', 'VSIG2', 'MYL6', 'NEURL1', 'CEACAM6', 'LGALS3', 'CKB', 'TDP2', 'CA2', 'GSN', 'CEACAM5', 'ID1', 'HSD17B2', 'DMBT1', 'TMEM176A', 'NOTCH2NL', 'CDHR5', 'MDK', 'HEPACAM2', 'CYSTM1', 'FTH1', 'ATP1B1', 'VAMP8', 'DSC2', 'PCDH24', 'RHOC', 'HSPB1', 'SCIN', 'TMEM54', 'HSD17B11', 'CLCA4', 'PCSK1N', 'GRN', 'CLDN7', 'MALL', 'ADRA2A', 'BSG', 'PRSS3', 'SLC20A1', 'EPCAM', 'TMEM59', 'KRT19', 'SEPW1', 'CHMP4B', 'MALAT1', 'PLAC8', 'C10orf99', 'MISP', 'CIB1', 'MEP1A', 'CARD16', 'FRMD1', 'C19orf33', 'MUC13', 'FUCA1', 'EMP1', 'CFDP1', 'MUC12', 'CLDN3', 'SERINC2', 'SGK1', 'LITAF', 'LGALS4']"
cE10 (Tuft),"['MARCKSL1', 'AZGP1', 'SH2D6', 'LRMP', 'KRT18', 'IFI6', 'FYB1', 'HCK', 'MALAT1', 'PLCG2', 'PTGS1', 'ALOX5AP', 'CALM2', 'BMX', 'AVIL', 'SPIB', 'GNG13', 'TUBA1A', 'ALOX5', 'H3F3A', 'TPM1', 'HPGDS', 'H3F3B', 'PTPN18', 'PBXIP1', 'SH2D7', 'PSTPIP2', 'RGS13', 'HLA-A', 'HOTAIRM1', 'IL17RB', 'ANXA13', 'PPDPF', 'TRPM5', 'KRT8', 'PLEKHB1', 'HEPACAM2', 'HLA-B', 'MATK', 'HTR3E', 'ELF3', 'EIF1B', 'POU2F3', 'CST3', 'RASSF6', 'ATP2A3', 'TMEM176B', 'ZFHX3', 'RP3-412A9.11', 'TMEM176A', 'GSN', 'BIK', 'C11orf53', 'CNN3', 'TLE4', 'PAK3', 'TAS1R3', 'GRK5', 'HLA-C', 'DEFB1', 'PIK3CG', 'NCMAP', 'CD300LF', 'PSAP', 'CCDC129', 'ANXA1', 'BCAM', 'OGDHL', 'ADGRG6', 'AFAP1L2', 'ACSL4', 'VAV1', 'DPYSL3', 'GRASP', 'CD14', 'DKK3', 'IL13RA1']"
